"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,Income,IncomePerCap,Poverty,ChildPoverty,Construction,Drive,Carpool,Transit,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count,Biomass,Small Hydro,Geothermal,Solar Thermal,Solar Photovoltaic ,Wind,Total
0.01,1.77,0.13,0.55,1.6,1,338083,174015,88.9,102.4,46.7,373.3,82.4,13.7,11.1954459203036,83.7847162325341,1.17302052785924,2.24253924443678,1.34552354666207,0.258754528204244,525,5,0,5,217852,Mariposa ,81,0,46,0,0,0,0,46
0.02,1.31,0.35,0.55,1.16,1,947760,549450,382.3,510.7,313.3,1461.9,202.2,7.3,23.8132336137945,69.45050379142,0.68557182923029,3.98358782590631,1.80741664069804,0.259686298950867,1120,35,1,34,512712,Mendocino ,924,0,33,0,0,12,0,45
0.03,1.82,0.5,0.55,1.89,1,2310399,991764,1206,1656.3,1034,3786.2,506.3,47.2,58.6978721630578,30.9026113415168,3.16362044890899,0.391805431090178,6.71071004314028,0.133380572286018,4628,10,2,8,13641,Merced ,968,47,20,0,0,327,14,407
0.01,1.08,0.2,0.55,0.8,0,169824,90805,66.1,69.6,86.6,267,30.2,1.8,14.5108005082592,77.9161372299873,0.660736975857687,5.54002541296061,1.29606099110546,0.0762388818297331,2323,2,0,2,179192,Modoc ,1,0,0,0,0,0,0,0
0,0.78,0.07,0.55,0.55,1,174361,91981,33.9,51.6,26.1,165.8,28.5,32.7,22.6440677966102,72.0338983050847,0.440677966101695,3.45762711864407,1.42372881355932,0,1430,6,0,6,35885,Mono ,67,0,87,208,0,0,0,295
0.03,0.97,0.41,0.55,1.07,1,6159429,2722534,1359.1,1726.2,1753.3,6484.4,954,142.9,53.8361018826135,37.2214839424142,2.46954595791805,0.248062015503876,5.75636766334441,0.46843853820598,4165,37,3,34,156566,Monterey ,3429,55,0,0,0,360,12,427
0.03,1.32,0.4,0.55,1.31,1,3354544,1724488,349.5,320.7,466.4,2974.2,456.7,57,31.984878098961,58.4996399547372,2.15769982512087,0.277749202756918,6.85114700133731,0.228885917086719,925,78,2,76,268948,Napa ,2365,0,0,0,0,3,0,3
0.02,2.03,0.25,0.55,2.02,0,1326905,727577,246.4,287.2,163.2,1493.3,171.6,18.9,8.81640645128046,88.6226619261091,0.515277992476941,0.680166950069562,1.21605606224558,0.149430617818313,820,16,0,16,4201,Nevada ,1113,0,303,0,0,0,0,303
0.07,1.56,0.69,0.55,1.74,0,50327365,22690649,6600.3,7999.8,3897.9,45744.1,5563.6,1219.1,33.5831983189829,45.6579031151171,1.59594037200286,0.223215864952633,18.6206603793608,0.319081949583637,11503,136,23,113,36764,Orange ,76706,499,22,0,0,5,0,526
0.05,2.08,0.51,0.55,2.23,0,6895002,3351340,758.4,823.3,673.7,6552.2,653.3,136.1,13.6726313063424,78.8627310732652,1.2776085535646,0.361331376635549,5.66291358877283,0.162784101419428,3345,33,6,27,37328,Placer ,6339,292,354,0,0,8,0,653
0.01,1.47,0.12,0.55,1.2,0,359342,250435,75.5,81.1,97,526.4,76.9,1.6,7.97327394209354,88.2405345211581,0.564216778025241,1.90051967334818,1.03934669636229,0.282108389012621,2005,3,0,3,63817,Plumas ,52,160,7,0,0,0,0,167
0.03,1.81,0.42,0.55,1.9,1,28293894,11939420,7373,9835.6,5285.1,34628.9,5710.4,610.7,48.4413829381995,39.7132180884834,5.74969616717154,0.412441727584393,5.41842768778683,0.264833390774366,16739,135,10,125,97362,Riverside ,22953,356,42,0,617,2775,1522,5311
