"Pollutant: 1,3-butadiene",Pollutant: Acetaldehyde,Pollutant: Benzene,Pollutant: Carbon tetrachloride,Pollutant: Formaldehyde,Target,TotalPop,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Hispanic (%),White (%),Black (%),Native (%),Asian (%),Pacific (%),Max_Voltage,Total EV Chargers,Private EV Chargers,Public EV Chargers,AcresBurned,County,Registered EV Count
0.02,1.41,0.29,0.55,1.35,1,64095,610041,339834,362.2,469.9,363.4,423.7,321,235.2,156.5,1064.2,179.8,19,41.1,7.3,188.4,432,22691,1020.5,298,176.9,4.3,182.1,19.1621253405995,73.3038147138965,2.40463215258856,3.61716621253406,1.45776566757493,0.0544959128065395,2425,3,0,3,582784,Lake ,376
0.01,1.22,0.14,0.55,0.95,0,31470,465998,221484,150.7,205.8,248.7,238.2,200.9,108.7,103.4,710.2,87.7,6.4,29.4,7.2,59,195.6,9052,396.5,411.4,86.6,5.4,80.2,12.6793988021245,76.6414284099898,5.40174030963951,3.02859080122048,1.10746977059555,1.14137190643011,2076,1,0,1,151797,Lassen ,14
0.08,1.87,0.76,0.55,2.03,0,10105722,152253427,72886219,40173.9,51304.9,81790,45000.8,56019.6,18374.4,30918.3,169430.7,22429.6,15644.5,6719.1,5432,12451.1,71655.1,4805817,184110.2,25988.4,21640.9,363.5,18362.4,49.092130059534,27.8830712900572,7.96694453924388,0.289909900853018,14.5231852962989,0.244758914012944,33864,721,138,583,194580,Los Angeles ,154234
0.02,1.88,0.41,0.55,1.92,1,154440,1170234,483506,497,677.8,565.5,398.3,497.8,560.8,277.8,1720.3,360.1,13.1,64.8,43.6,98.4,613.7,56076,1792,328.6,176.6,2.8,203.6,53.7567639492593,40.3974097400869,2.44832786303557,1.32174221591413,1.94269493479996,0.133061296904107,2745,9,2,7,44505,Madera ,574
0.04,1.07,0.45,0.55,1.07,0,260814,6015530,3734706,431.7,439.6,2949.1,749.8,1148.4,304.3,248.4,3493.5,415.1,516,211.9,139.6,623.5,1720.1,130570,3985.7,556.1,847.8,10.9,241.8,15.3572447911712,76.3181428979165,2.54780705927124,0.16934639901056,5.48377889829702,0.123679954333555,1060,21,2,19,349,Marin ,9657
0.01,1.77,0.13,0.55,1.6,1,17658,338083,174015,88.9,102.4,185.9,192.5,123.6,46.7,51.3,373.3,82.4,13.7,51.4,22.7,56.8,189.2,7009,371,161,63.6,4.3,60.1,11.1954459203036,83.7847162325341,1.17302052785924,2.24253924443678,1.34552354666207,0.258754528204244,525,5,0,5,217852,Mariposa ,81
0.02,1.31,0.35,0.55,1.16,1,87497,947760,549450,382.3,510.7,649,436.5,437.7,313.3,163.4,1461.9,202.2,7.3,113.8,35,180,415.8,37084,1240.5,398.5,348.9,12.3,197,23.8132336137945,69.45050379142,0.68557182923029,3.98358782590631,1.80741664069804,0.259686298950867,1120,35,1,34,512712,Mendocino ,924
0.03,1.82,0.5,0.55,1.89,1,267390,2310399,991764,1206,1656.3,1133.7,918.4,1000.6,1034,812.7,3786.2,506.3,47.2,135.4,235.8,188.5,1249.3,99026,3775.7,778.8,335,10,716.9,58.6978721630578,30.9026113415168,3.16362044890899,0.391805431090178,6.71071004314028,0.133380572286018,4628,10,2,8,13641,Merced ,968
0.01,1.08,0.2,0.55,0.8,0,9017,169824,90805,66.1,69.6,154.7,46.9,78.9,86.6,33,267,30.2,1.8,25,6,70,73.3,3231,226.8,112.1,59.3,1.9,24.7,14.5108005082592,77.9161372299873,0.660736975857687,5.54002541296061,1.29606099110546,0.0762388818297331,2323,2,0,2,179192,Modoc ,1
0,0.78,0.07,0.55,0.55,1,14058,174361,91981,33.9,51.6,125.4,72.9,55.5,26.1,20.3,165.8,28.5,32.7,25.8,12.2,35,59.2,7864,196.5,72.8,29,1.8,18.9,22.6440677966102,72.0338983050847,0.440677966101695,3.45762711864407,1.42372881355932,0,1430,6,0,6,35885,Mono ,67
0.03,0.97,0.41,0.55,1.07,1,433168,6159429,2722534,1359.1,1726.2,2884,1876.9,1842.9,1753.3,942.4,6484.4,954,142.9,334.7,803,480.3,2026.4,182439,6916.6,1458.3,909.4,16.5,576.1,53.8361018826135,37.2214839424142,2.46954595791805,0.248062015503876,5.75636766334441,0.46843853820598,4165,37,3,34,156566,Monterey ,3429
0.03,1.32,0.4,0.55,1.31,1,141005,3354544,1724488,349.5,320.7,1510.4,790.6,849.1,466.4,383.1,2974.2,456.7,57,165.4,82.1,264.9,963.3,71110,3072.6,485.5,434.1,8,205.5,31.984878098961,58.4996399547372,2.15769982512087,0.277749202756918,6.85114700133731,0.228885917086719,925,78,2,76,268948,Napa ,2365
0.02,2.03,0.25,0.55,2.02,0,98838,1326905,727577,246.4,287.2,836.3,393.2,453.8,163.2,153.8,1493.3,171.6,18.9,48.6,51,216.5,495.5,42302,1382.3,285.3,321.7,10.7,151.7,8.81640645128046,88.6226619261091,0.515277992476941,0.680166950069562,1.21605606224558,0.149430617818313,820,16,0,16,4201,Nevada ,1113
0.07,1.56,0.69,0.55,1.74,0,3155816,50327365,22690649,6600.3,7999.8,23910.1,9999.8,14626.6,3897.9,5763.5,45744.1,5563.6,1219.1,1132.4,1152.1,3387.4,15925.8,1560997,47279,6157.5,4646.5,117.1,3406.1,33.5831983189829,45.6579031151171,1.59594037200286,0.223215864952633,18.6206603793608,0.319081949583637,11503,136,23,113,36764,Orange ,76706
0.05,2.08,0.51,0.55,2.23,0,374985,6895002,3351340,758.4,823.3,3630.2,1381.9,2166.9,673.7,547.3,6552.2,653.3,136.1,145.3,159.2,754.8,2242.5,170791,6290.7,1258.6,833.2,18.1,479.1,13.6726313063424,78.8627310732652,1.2776085535646,0.361331376635549,5.66291358877283,0.162784101419428,3345,33,6,27,37328,Placer ,6339
0.01,1.47,0.12,0.55,1.2,0,18724,359342,250435,75.5,81.1,247.2,167.7,126.9,97,61.1,526.4,76.9,1.6,15.8,16.4,63,169.4,7260,413.9,174.4,109.8,1.9,73.9,7.97327394209354,88.2405345211581,0.564216778025241,1.90051967334818,1.03934669636229,0.282108389012621,2005,3,0,3,63817,Plumas ,52
0.03,1.81,0.42,0.55,1.9,1,2355002,28293894,11939420,7373,9835.6,12882.3,9814.7,11115.2,5285.1,6002.7,34628.9,5710.4,610.7,819.1,820.5,2510.6,14341.7,978726,35073.7,6279.9,3673,73.9,4514.7,48.4413829381995,39.7132180884834,5.74969616717154,0.412441727584393,5.41842768778683,0.264833390774366,16739,135,10,125,97362,Riverside ,22953
0.09,2.02,0.8,0.55,2.33,1,1495400,20357843,9714545,5362.5,6739.2,12032.8,6299.2,7849,2567.2,2952.6,24199,3284.5,897.4,791.7,794.2,1733.2,8415.1,666790,22681.4,6700.4,2259.7,58.8,2827.6,23.4492396765714,51.085748510964,9.50321099391076,0.401291052473963,14.6032010115463,0.957308754533657,22910,91,21,70,1985,Sacramento ,15855
0.02,1.13,0.41,0.55,1.24,0,58671,899843,342089,106.3,149.3,329.7,202.6,239.5,181.3,146.7,883.2,144.2,5.8,13.4,10.5,43,374.8,27688,833.9,179.2,86.1,1.2,99.1,57.6944393127656,38.7770182893035,0.79438389063366,0.249399593571033,2.34620358396453,0.138555329761685,470,3,0,3,4354,San Benito ,718
0.03,1.73,0.48,0.55,1.77,1,2121220,21685399,8483673,6916.5,9142.4,9995,7222.5,9226.4,3895.2,6363.3,28803.8,4366.2,567.9,659.2,480.3,1825,11171.9,869658,28211.4,5915.4,2516.4,56,3765.1,52.7980765748322,32.6372153796007,7.54493053214577,0.435166586338221,6.27481243540061,0.309798491682523,18820,90,21,69,90897,San Bernardino ,17279
0.05,1.5,0.82,0.55,1.57,0,3283665,46825138,21819926,8353.2,9992.9,25022.7,12542.2,14406.8,5040.9,5390.1,47609.7,5552.8,2053,1577.8,1408.5,4396.4,16158.2,1536073,48088.7,9144,5050.4,117.2,4521.2,34.3993847476969,49.1836329656153,4.8500735987298,0.378082463655459,10.7958586242826,0.392967600019847,14272,193,48,145,65394,San Diego ,51616
